MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;374947;Bex Digital 9 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;451072;Bex Digital 7 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;216439;Bex Digital 9 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;387000;Bex Digital 12;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;474814;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;341964;Bex Digital 20;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;509897;Bex Digital 17;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;220181;Bex Digital 3 ;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;611193;Bex Digital 3 ;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;745288;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;574796;Bex Digital 11;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;1090884;Bex Digital 17;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;678274;Bex Digital 13;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;404257;Bex Digital 2 ;1/1/2018;1175;7,67%;6,67%;Prioridad 4;
SOLES;593352;Bex Digital 11;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;380854;Bex Digital 9 ;1/12/2018;841;7,65%;6,65%;Prioridad 2;
SOLES;305251;Bex Digital 11;1/1/2014;2636;8,91%;7,91%;Prioridad 4;
SOLES;479729;Bex Digital 17;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;246203;Bex Digital 12;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;278203;Bex Digital 10;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;532084;Bex Digital 2 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;412997;Bex Digital 4 ;1/5/2019;690;8,11%;7,11%;Prioridad 4;
SOLES;359603;Bex Digital 4 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;258618;Bex Digital 14;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;368333;Bex Digital 14;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;308000;Bex Digital 11;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;261920;Bex Digital 12;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;498583;Bex Digital 7 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;366649;Bex Digital 11;1/6/2020;293;6,59%;5,59%;Prioridad 3;
